school_name,lon,lat
TECK GHEE PRIMARY SCHOOL,103.851032163057,1.36520063113583
TECK WHYE PRIMARY SCHOOL,103.753682810457,1.38355830308364
TELOK KURAU PRIMARY SCHOOL,103.91134913991,1.33091347150609
TEMASEK PRIMARY SCHOOL,103.94569522928,1.3177163894532
TOWNSVILLE PRIMARY SCHOOL,103.854185521507,1.36036263436069
UNITY PRIMARY SCHOOL,103.746993420009,1.40282338968617
VALOUR PRIMARY SCHOOL,103.898910900479,1.40687135453389
WATERWAY PRIMARY SCHOOL,103.918670764176,1.39915421007324
WELLINGTON PRIMARY SCHOOL,103.822320585589,1.45193387060479
WEST GROVE PRIMARY SCHOOL,103.698964204829,1.34471212179467
WEST SPRING PRIMARY SCHOOL,103.766077275118,1.38946311825015
WEST VIEW PRIMARY SCHOOL,103.760289106472,1.38359057382601
WESTWOOD PRIMARY SCHOOL,103.700526715746,1.34715463167376
WHITE SANDS PRIMARY SCHOOL,103.960948215572,1.36551781309106
WOODGROVE PRIMARY SCHOOL,103.790389620371,1.43305806041
WOODLANDS PRIMARY SCHOOL,103.797841126811,1.43476970480441
WOODLANDS RING PRIMARY SCHOOL,103.797841126811,1.43476970480441
XINGHUA PRIMARY SCHOOL,103.890216354916,1.35799654685784
XINGNAN PRIMARY SCHOOL,103.68772398508,1.34268487634267
XINMIN PRIMARY SCHOOL,103.883039143647,1.37141472576199
XISHAN PRIMARY SCHOOL,103.838289310553,1.43350145509511
YANGZHENG PRIMARY SCHOOL,103.868362521917,1.34897202423063
YEW TEE PRIMARY SCHOOL,103.751194604689,1.39696139159331
YIO CHU KANG PRIMARY SCHOOL,103.885568714764,1.37782270940137
YISHUN PRIMARY SCHOOL,103.834027410567,1.43349639934216
YU NENG PRIMARY SCHOOL,103.93203405271,1.33390380862116
YUHUA PRIMARY SCHOOL,103.740861144256,1.34291981758865
YUMIN PRIMARY SCHOOL,103.950716122461,1.35145960318228
ZHANGDE PRIMARY SCHOOL,103.826148977614,1.28449821971479
ZHENGHUA PRIMARY SCHOOL,103.76917079696,1.37980236109135
ZHONGHUA PRIMARY SCHOOL,103.869695911447,1.36016673529604
